Package Name,Package Type,Custodian,Current Version,Dependencies for Current,Newer Versions,Dependencies for Latest,Latest Version,Current Version Vulnerable?,Current Version Vulnerability Details,Upgrade Version Vulnerable?,Upgrade Vulnerability Details,Suggested Upgrade,Upgrade Instruction,Remarks
rich,Dependency Package,EY,13.9.2,"typing-extensions<5.0,>=4.0.0; python_version < ""3.11""; pygments<3.0.0,>=2.13.0; ipywidgets<9,>=7.5.1; extra == ""jupyter""; markdown-it-py>=2.2.0","13.9.3, 13.9.4, 14.0.0","typing-extensions<5.0,>=4.0.0; python_version < ""3.11""; pygments<3.0.0,>=2.13.0; ipywidgets<9,>=7.5.1; extra == ""jupyter""; markdown-it-py>=2.2.0",14.0.0,No,,No,None,13.9.4,"{'base_package': 'rich==13.9.4', 'dependencies': ['typing-extensions==4.13.2', 'pygments==2.19.1', 'ipywidgets==7.8.5', 'markdown-it-py==2.2.0']}",
rich-click,Dependency Package,EY,1.8.3,"click>=7; importlib-metadata; python_version < ""3.8""; rich>=10.7; typing_extensions>=4; mypy; extra == ""dev""; packaging; extra == ""dev""; pre-commit; extra == ""dev""; pytest; extra == ""dev""; pytest-cov; extra == ""dev""; rich-codex; extra == ""dev""; ruff; extra == ""dev""; types-setuptools; extra == ""dev""; markdown_include; extra == ""docs""; mkdocs; extra == ""docs""; mkdocs-glightbox; extra == ""docs""; mkdocs-material[imaging]~=9.5.18; extra == ""docs""; mkdocs-material-extensions; extra == ""docs""; mkdocs-rss-plugin; extra == ""docs""; mkdocstrings[python]; extra == ""docs""; rich-codex; extra == ""docs""","1.8.4, 1.8.5, 1.8.6, 1.8.7.dev0, 1.8.7, 1.8.8, 1.8.9","click>=7; importlib-metadata; python_version < ""3.8""; rich>=10.7; typing_extensions>=4; mypy; extra == ""dev""; packaging; extra == ""dev""; pre-commit; extra == ""dev""; pytest; extra == ""dev""; pytest-cov; extra == ""dev""; rich-codex; extra == ""dev""; ruff; extra == ""dev""; types-setuptools; extra == ""dev""; markdown_include; extra == ""docs""; mkdocs; extra == ""docs""; mkdocs-glightbox; extra == ""docs""; mkdocs-material[imaging]~=9.5.18; extra == ""docs""; mkdocs-material-extensions; extra == ""docs""; mkdocs-rss-plugin; extra == ""docs""; mkdocstrings[python]; extra == ""docs""; rich-codex; extra == ""docs""",1.8.9,No,,No,None,1.8.9,"{'base_package': 'rich-click==1.8.9', 'dependencies': ['click==7.1.2', 'importlib-metadata==8.7.0', 'rich==10.16.2', 'typing_extensions==4.13.2', 'mypy==1.15.0', 'packaging==25.0', 'pre-commit==4.2.0', 'pytest==8.3.5', 'pytest-cov==6.1.1', 'rich-codex==1.2.11', 'ruff==0.11.11', 'types-setuptools==80.8.0.20250521', 'markdown_include==0.8.1', 'mkdocs==1.6.1', 'mkdocs-glightbox==0.4.0', 'mkdocs-material==9.6.14', 'mkdocs-material-extensions==1.3.1', 'mkdocs-rss-plugin==1.17.1', 'mkdocstrings==0.29.1']}",
rope,Dependency Package,EY,1.13.0,"pytoolconfig[global]>=1.2.2; pytest>=7.0.1; extra == ""dev""; pytest-cov>=4.1.0; extra == ""dev""; pytest-timeout>=2.1.0; extra == ""dev""; build>=0.7.0; extra == ""dev""; pre-commit>=2.20.0; extra == ""dev""; pytoolconfig[doc]; extra == ""doc""; sphinx>=4.5.0; extra == ""doc""; sphinx-autodoc-typehints>=1.18.1; extra == ""doc""; sphinx-rtd-theme>=1.0.0; extra == ""doc""; toml>=0.10.2; extra == ""release""; twine>=4.0.2; extra == ""release""; pip-tools>=6.12.1; extra == ""release""",,"pytoolconfig[global]>=1.2.2; pytest>=7.0.1; extra == ""dev""; pytest-cov>=4.1.0; extra == ""dev""; pytest-timeout>=2.1.0; extra == ""dev""; build>=0.7.0; extra == ""dev""; pre-commit>=2.20.0; extra == ""dev""; pytoolconfig[doc]; extra == ""doc""; sphinx>=4.5.0; extra == ""doc""; sphinx-autodoc-typehints>=1.18.1; extra == ""doc""; sphinx-rtd-theme>=1.0.0; extra == ""doc""; toml>=0.10.2; extra == ""release""; twine>=4.0.2; extra == ""release""; pip-tools>=6.12.1; extra == ""release""",1.13.0,No,,No,None,1.13.0,"{'base_package': 'rope==1.13.0', 'dependencies': ['pytoolconfig==1.3.1', 'pytest==7.4.4', 'pytest-cov==4.1.0', 'pytest-timeout==2.4.0', 'build==0.10.0', 'pre-commit==2.21.0', 'sphinx==1.3.1', 'sphinx-autodoc-typehints==4.5.0', 'sphinx-rtd-theme==1.25.3', 'toml==1.3.0', 'twine==0.10.2', 'pip-tools==4.0.2']}",
rpds-py,Dependency Package,EY,0.20.0,,"0.20.1, 0.21.0, 0.22.0, 0.22.1, 0.22.3, 0.23.0, 0.23.1, 0.24.0, 0.25.0, 0.25.1",,0.25.1,No,,No,None,0.25.1,"{'base_package': 'rpds-py==0.25.1', 'dependencies': []}",
rsa,Dependency Package,EY,4.9,pyasn1>=0.1.3,4.9.1,pyasn1>=0.1.3,4.9.1,No,,No,None,4.9.1,"{'base_package': 'rsa==4.9.1', 'dependencies': ['pyasn1==0.6.1']}",
scikit-learn,Dependency Package,EY,1.5.2,"numpy>=1.19.5; scipy>=1.6.0; joblib>=1.2.0; threadpoolctl>=3.1.0; numpy>=1.19.5; extra == ""build""; scipy>=1.6.0; extra == ""build""; cython>=3.0.10; extra == ""build""; meson-python>=0.16.0; extra == ""build""; numpy>=1.19.5; extra == ""install""; scipy>=1.6.0; extra == ""install""; joblib>=1.2.0; extra == ""install""; threadpoolctl>=3.1.0; extra == ""install""; matplotlib>=3.3.4; extra == ""benchmark""; pandas>=1.1.5; extra == ""benchmark""; memory_profiler>=0.57.0; extra == ""benchmark""; matplotlib>=3.3.4; extra == ""docs""; scikit-image>=0.17.2; extra == ""docs""; pandas>=1.1.5; extra == ""docs""; seaborn>=0.9.0; extra == ""docs""; memory_profiler>=0.57.0; extra == ""docs""; sphinx>=7.3.7; extra == ""docs""; sphinx-copybutton>=0.5.2; extra == ""docs""; sphinx-gallery>=0.17.1; extra == ""docs""; numpydoc>=1.2.0; extra == ""docs""; Pillow>=7.1.2; extra == ""docs""; pooch>=1.6.0; extra == ""docs""; sphinx-prompt>=1.4.0; extra == ""docs""; sphinxext-opengraph>=0.9.1; extra == ""docs""; plotly>=5.14.0; extra == ""docs""; polars>=0.20.30; extra == ""docs""; sphinx-design>=0.5.0; extra == ""docs""; sphinx-design>=0.6.0; extra == ""docs""; sphinxcontrib-sass>=0.3.4; extra == ""docs""; pydata-sphinx-theme>=0.15.3; extra == ""docs""; sphinx-remove-toctrees>=1.0.0.post1; extra == ""docs""; towncrier>=24.8.0; extra == ""docs""; matplotlib>=3.3.4; extra == ""examples""; scikit-image>=0.17.2; extra == ""examples""; pandas>=1.1.5; extra == ""examples""; seaborn>=0.9.0; extra == ""examples""; pooch>=1.6.0; extra == ""examples""; plotly>=5.14.0; extra == ""examples""; matplotlib>=3.3.4; extra == ""tests""; scikit-image>=0.17.2; extra == ""tests""; pandas>=1.1.5; extra == ""tests""; pytest>=7.1.2; extra == ""tests""; pytest-cov>=2.9.0; extra == ""tests""; ruff>=0.5.1; extra == ""tests""; black>=24.3.0; extra == ""tests""; mypy>=1.9; extra == ""tests""; pyamg>=4.0.0; extra == ""tests""; polars>=0.20.30; extra == ""tests""; pyarrow>=12.0.0; extra == ""tests""; numpydoc>=1.2.0; extra == ""tests""; pooch>=1.6.0; extra == ""tests""; conda-lock==2.5.6; extra == ""maintenance""","1.6.0rc1, 1.6.0, 1.6.1, 1.7.0rc1","numpy>=1.19.5; scipy>=1.6.0; joblib>=1.2.0; threadpoolctl>=3.1.0; numpy>=1.19.5; extra == ""build""; scipy>=1.6.0; extra == ""build""; cython>=3.0.10; extra == ""build""; meson-python>=0.16.0; extra == ""build""; numpy>=1.19.5; extra == ""install""; scipy>=1.6.0; extra == ""install""; joblib>=1.2.0; extra == ""install""; threadpoolctl>=3.1.0; extra == ""install""; matplotlib>=3.3.4; extra == ""benchmark""; pandas>=1.1.5; extra == ""benchmark""; memory_profiler>=0.57.0; extra == ""benchmark""; matplotlib>=3.3.4; extra == ""docs""; scikit-image>=0.17.2; extra == ""docs""; pandas>=1.1.5; extra == ""docs""; seaborn>=0.9.0; extra == ""docs""; memory_profiler>=0.57.0; extra == ""docs""; sphinx>=7.3.7; extra == ""docs""; sphinx-copybutton>=0.5.2; extra == ""docs""; sphinx-gallery>=0.17.1; extra == ""docs""; numpydoc>=1.2.0; extra == ""docs""; Pillow>=7.1.2; extra == ""docs""; pooch>=1.6.0; extra == ""docs""; sphinx-prompt>=1.4.0; extra == ""docs""; sphinxext-opengraph>=0.9.1; extra == ""docs""; plotly>=5.14.0; extra == ""docs""; polars>=0.20.30; extra == ""docs""; sphinx-design>=0.5.0; extra == ""docs""; sphinx-design>=0.6.0; extra == ""docs""; sphinxcontrib-sass>=0.3.4; extra == ""docs""; pydata-sphinx-theme>=0.15.3; extra == ""docs""; sphinx-remove-toctrees>=1.0.0.post1; extra == ""docs""; towncrier>=24.8.0; extra == ""docs""; matplotlib>=3.3.4; extra == ""examples""; scikit-image>=0.17.2; extra == ""examples""; pandas>=1.1.5; extra == ""examples""; seaborn>=0.9.0; extra == ""examples""; pooch>=1.6.0; extra == ""examples""; plotly>=5.14.0; extra == ""examples""; matplotlib>=3.3.4; extra == ""tests""; scikit-image>=0.17.2; extra == ""tests""; pandas>=1.1.5; extra == ""tests""; pytest>=7.1.2; extra == ""tests""; pytest-cov>=2.9.0; extra == ""tests""; ruff>=0.5.1; extra == ""tests""; black>=24.3.0; extra == ""tests""; mypy>=1.9; extra == ""tests""; pyamg>=4.0.0; extra == ""tests""; polars>=0.20.30; extra == ""tests""; pyarrow>=12.0.0; extra == ""tests""; numpydoc>=1.2.0; extra == ""tests""; pooch>=1.6.0; extra == ""tests""; conda-lock==2.5.6; extra == ""maintenance""",1.7.0rc1,No,,No,None,1.7.0rc1,"{'base_package': 'scikit-learn==1.7.0rc1', 'dependencies': ['numpy==1.26.4', 'scipy==1.16.0rc1', 'joblib==1.5.0', 'threadpoolctl==3.6.0', 'cython==1.26.4', 'meson-python==1.16.0rc1', 'matplotlib==3.1.1', 'pandas==0.18.0', 'memory_profiler==1.26.4', 'scikit-image==1.16.0rc1', 'seaborn==1.5.0', 'sphinx==3.6.0', 'sphinx-copybutton==3.10.3', 'sphinx-gallery==1.5.3', 'numpydoc==0.61.0', 'Pillow==3.10.3', 'pooch==0.25.2', 'sphinx-prompt==1.5.3', 'sphinxext-opengraph==0.13.2', 'plotly==0.61.0', 'polars==7.4.7', 'sphinx-design==0.5.2', 'sphinxcontrib-sass==0.19.0', 'pydata-sphinx-theme==1.8.0', 'towncrier==1.8.2', 'pytest==1.9.0', 'pytest-cov==0.10.0', 'ruff==5.24.1', 'black==0.20.31', 'mypy==0.6.1', 'pyamg==0.6.1', 'pyarrow==0.3.5', 'conda-lock==0.16.1']}",
scipy,Dependency Package,EY,1.14.1,"numpy<2.5,>=1.23.5; pytest; extra == ""test""; pytest-cov; extra == ""test""; pytest-timeout; extra == ""test""; pytest-xdist; extra == ""test""; asv; extra == ""test""; mpmath; extra == ""test""; gmpy2; extra == ""test""; threadpoolctl; extra == ""test""; scikit-umfpack; extra == ""test""; pooch; extra == ""test""; hypothesis>=6.30; extra == ""test""; array-api-strict<2.1.1,>=2.0; extra == ""test""; Cython; extra == ""test""; meson; extra == ""test""; ninja; sys_platform != ""emscripten"" and extra == ""test""; sphinx<8.0.0,>=5.0.0; extra == ""doc""; intersphinx_registry; extra == ""doc""; pydata-sphinx-theme>=0.15.2; extra == ""doc""; sphinx-copybutton; extra == ""doc""; sphinx-design>=0.4.0; extra == ""doc""; matplotlib>=3.5; extra == ""doc""; numpydoc; extra == ""doc""; jupytext; extra == ""doc""; myst-nb; extra == ""doc""; pooch; extra == ""doc""; jupyterlite-sphinx>=0.19.1; extra == ""doc""; jupyterlite-pyodide-kernel; extra == ""doc""; mypy==1.10.0; extra == ""dev""; typing_extensions; extra == ""dev""; types-psutil; extra == ""dev""; pycodestyle; extra == ""dev""; ruff>=0.0.292; extra == ""dev""; cython-lint>=0.12.2; extra == ""dev""; rich-click; extra == ""dev""; doit>=0.36.0; extra == ""dev""; pydevtool; extra == ""dev""","1.15.0rc1, 1.15.0rc2, 1.15.0, 1.15.1, 1.15.2, 1.15.3, 1.16.0rc1","numpy<2.5,>=1.23.5; pytest; extra == ""test""; pytest-cov; extra == ""test""; pytest-timeout; extra == ""test""; pytest-xdist; extra == ""test""; asv; extra == ""test""; mpmath; extra == ""test""; gmpy2; extra == ""test""; threadpoolctl; extra == ""test""; scikit-umfpack; extra == ""test""; pooch; extra == ""test""; hypothesis>=6.30; extra == ""test""; array-api-strict<2.1.1,>=2.0; extra == ""test""; Cython; extra == ""test""; meson; extra == ""test""; ninja; sys_platform != ""emscripten"" and extra == ""test""; sphinx<8.0.0,>=5.0.0; extra == ""doc""; intersphinx_registry; extra == ""doc""; pydata-sphinx-theme>=0.15.2; extra == ""doc""; sphinx-copybutton; extra == ""doc""; sphinx-design>=0.4.0; extra == ""doc""; matplotlib>=3.5; extra == ""doc""; numpydoc; extra == ""doc""; jupytext; extra == ""doc""; myst-nb; extra == ""doc""; pooch; extra == ""doc""; jupyterlite-sphinx>=0.19.1; extra == ""doc""; jupyterlite-pyodide-kernel; extra == ""doc""; mypy==1.10.0; extra == ""dev""; typing_extensions; extra == ""dev""; types-psutil; extra == ""dev""; pycodestyle; extra == ""dev""; ruff>=0.0.292; extra == ""dev""; cython-lint>=0.12.2; extra == ""dev""; rich-click; extra == ""dev""; doit>=0.36.0; extra == ""dev""; pydevtool; extra == ""dev""",1.16.0rc1,No,,No,None,1.16.0rc1,"{'base_package': 'scipy==1.16.0rc1', 'dependencies': ['numpy==1.26.4', 'pytest==8.3.5', 'pytest-cov==6.1.1', 'pytest-timeout==2.4.0', 'pytest-xdist==3.6.1', 'asv==0.6.4', 'mpmath==1.4.0a5', 'gmpy2==2.2.1', 'threadpoolctl==3.6.0', 'scikit-umfpack==0.4.1', 'pooch==1.8.2', 'hypothesis==6.131.23', 'array-api-strict==2.3.1', 'Cython==3.1.1', 'meson==1.8.0', 'ninja==1.11.1.4', 'sphinx==5.3.0', 'intersphinx_registry==0.2501.23', 'pydata-sphinx-theme==0.16.1', 'sphinx-copybutton==0.5.2', 'sphinx-design==0.6.1', 'matplotlib==3.10.3', 'numpydoc==1.8.0', 'jupytext==1.17.1', 'myst-nb==1.2.0', 'jupyterlite-sphinx==1.8.2', 'jupyterlite-pyodide-kernel==0.20.1', 'mypy==0.6.0b1', 'typing_extensions==1.15.0', 'types-psutil==4.13.2', 'pycodestyle==7.0.0.20250516', 'ruff==2.13.0', 'cython-lint==0.11.11', 'rich-click==0.16.6', 'doit==1.8.9', 'pydevtool==0.36.0']}",
SecretStorage,Dependency Package,EY,3.3.3,cryptography (>=2.0); jeepney (>=0.6),,cryptography (>=2.0); jeepney (>=0.6),3.3.3,No,,No,None,3.3.3,"{'base_package': 'SecretStorage==3.3.3', 'dependencies': ['jeepney==0.9.0']}",
secure,Dependency Package,EY,0.3.0,,"1.0.0, 1.0.1",,1.0.1,No,,No,None,0.3.0,"{'base_package': 'secure==0.3.0', 'dependencies': []}",
semver,Dependency Package,EY,2.13.0,,"3.0.0.dev1, 3.0.0.dev2, 3.0.0.dev3, 3.0.0.dev4, 3.0.0rc1, 3.0.0, 3.0.1, 3.0.2, 3.0.3, 3.0.4",,3.0.4,No,,No,None,2.13.0,"{'base_package': 'semver==2.13.0', 'dependencies': []}",
Send2Trash,Dependency Package,EY,1.8.3,"pyobjc-framework-Cocoa; sys_platform == ""darwin"" and extra == ""nativelib""; pywin32; sys_platform == ""win32"" and extra == ""nativelib""; pyobjc-framework-Cocoa; sys_platform == ""darwin"" and extra == ""objc""; pywin32; sys_platform == ""win32"" and extra == ""win32""",,"pyobjc-framework-Cocoa; sys_platform == ""darwin"" and extra == ""nativelib""; pywin32; sys_platform == ""win32"" and extra == ""nativelib""; pyobjc-framework-Cocoa; sys_platform == ""darwin"" and extra == ""objc""; pywin32; sys_platform == ""win32"" and extra == ""win32""",1.8.3,No,,No,None,1.8.3,"{'base_package': 'Send2Trash==1.8.3', 'dependencies': ['pyobjc-framework-Cocoa==11.0', 'pywin32==310']}",
shellingham,Dependency Package,EY,1.5.4,,,,1.5.4,No,,No,None,1.5.4,"{'base_package': 'shellingham==1.5.4', 'dependencies': []}",
six,Dependency Package,EY,1.17.0,,,,1.17.0,No,,No,None,1.17.0,"{'base_package': 'six==1.17.0', 'dependencies': []}",
smart-open,Dependency Package,EY,7.0.4,,"7.0.5, 7.1.0",,7.1.0,No,,No,None,7.1.0,"{'base_package': 'smart-open==7.1.0', 'dependencies': []}",
smmap,Dependency Package,EY,5.0.1,,"5.0.2, 6.0.0",,6.0.0,No,,No,None,5.0.2,"{'base_package': 'smmap==5.0.2', 'dependencies': []}",
sniffio,Dependency Package,EY,1.3.1,,,,1.3.1,No,,No,None,1.3.1,"{'base_package': 'sniffio==1.3.1', 'dependencies': []}",
soupsieve,Dependency Package,EY,2.6,,2.7,,2.7,No,,No,None,2.7,"{'base_package': 'soupsieve==2.7', 'dependencies': []}",
spacy,Dependency Package,EY,3.8.2,"spacy-legacy<3.1.0,>=3.0.11; spacy-loggers<2.0.0,>=1.0.0; murmurhash<1.1.0,>=0.28.0; cymem<2.1.0,>=2.0.2; preshed<3.1.0,>=3.0.2; thinc<8.4.0,>=8.3.4; wasabi<1.2.0,>=0.9.1; srsly<3.0.0,>=2.4.3; catalogue<2.1.0,>=2.0.6; weasel<0.5.0,>=0.1.0; typer<1.0.0,>=0.3.0; tqdm<5.0.0,>=4.38.0; numpy>=1.15.0; python_version < ""3.9""; numpy>=1.19.0; python_version >= ""3.9""; requests<3.0.0,>=2.13.0; pydantic!=1.8,!=1.8.1,<3.0.0,>=1.7.4; jinja2; setuptools; packaging>=20.0; langcodes<4.0.0,>=3.2.0; spacy_lookups_data<1.1.0,>=1.0.3; extra == ""lookups""; spacy_transformers<1.4.0,>=1.1.2; extra == ""transformers""; cupy<13.0.0,>=5.0.0b4; extra == ""cuda""; cupy-cuda80<13.0.0,>=5.0.0b4; extra == ""cuda80""; cupy-cuda90<13.0.0,>=5.0.0b4; extra == ""cuda90""; cupy-cuda91<13.0.0,>=5.0.0b4; extra == ""cuda91""; cupy-cuda92<13.0.0,>=5.0.0b4; extra == ""cuda92""; cupy-cuda100<13.0.0,>=5.0.0b4; extra == ""cuda100""; cupy-cuda101<13.0.0,>=5.0.0b4; extra == ""cuda101""; cupy-cuda102<13.0.0,>=5.0.0b4; extra == ""cuda102""; cupy-cuda110<13.0.0,>=5.0.0b4; extra == ""cuda110""; cupy-cuda111<13.0.0,>=5.0.0b4; extra == ""cuda111""; cupy-cuda112<13.0.0,>=5.0.0b4; extra == ""cuda112""; cupy-cuda113<13.0.0,>=5.0.0b4; extra == ""cuda113""; cupy-cuda114<13.0.0,>=5.0.0b4; extra == ""cuda114""; cupy-cuda115<13.0.0,>=5.0.0b4; extra == ""cuda115""; cupy-cuda116<13.0.0,>=5.0.0b4; extra == ""cuda116""; cupy-cuda117<13.0.0,>=5.0.0b4; extra == ""cuda117""; cupy-cuda11x<13.0.0,>=11.0.0; extra == ""cuda11x""; cupy-cuda12x<13.0.0,>=11.5.0; extra == ""cuda12x""; cupy-wheel<13.0.0,>=11.0.0; extra == ""cuda-autodetect""; thinc-apple-ops<2.0.0,>=1.0.0; extra == ""apple""; sudachipy!=0.6.1,>=0.5.2; extra == ""ja""; sudachidict_core>=20211220; extra == ""ja""; natto-py>=0.9.0; extra == ""ko""; pythainlp>=2.0; extra == ""th""","3.8.3, 3.8.4, 3.8.5, 3.8.6, 4.0.0.dev1, 4.0.0.dev2, 4.0.0.dev3","spacy-legacy<3.1.0,>=3.0.11; spacy-loggers<2.0.0,>=1.0.0; murmurhash<1.1.0,>=0.28.0; cymem<2.1.0,>=2.0.2; preshed<3.1.0,>=3.0.2; thinc<8.4.0,>=8.3.4; wasabi<1.2.0,>=0.9.1; srsly<3.0.0,>=2.4.3; catalogue<2.1.0,>=2.0.6; weasel<0.5.0,>=0.1.0; typer<1.0.0,>=0.3.0; tqdm<5.0.0,>=4.38.0; numpy>=1.15.0; python_version < ""3.9""; numpy>=1.19.0; python_version >= ""3.9""; requests<3.0.0,>=2.13.0; pydantic!=1.8,!=1.8.1,<3.0.0,>=1.7.4; jinja2; setuptools; packaging>=20.0; langcodes<4.0.0,>=3.2.0; spacy_lookups_data<1.1.0,>=1.0.3; extra == ""lookups""; spacy_transformers<1.4.0,>=1.1.2; extra == ""transformers""; cupy<13.0.0,>=5.0.0b4; extra == ""cuda""; cupy-cuda80<13.0.0,>=5.0.0b4; extra == ""cuda80""; cupy-cuda90<13.0.0,>=5.0.0b4; extra == ""cuda90""; cupy-cuda91<13.0.0,>=5.0.0b4; extra == ""cuda91""; cupy-cuda92<13.0.0,>=5.0.0b4; extra == ""cuda92""; cupy-cuda100<13.0.0,>=5.0.0b4; extra == ""cuda100""; cupy-cuda101<13.0.0,>=5.0.0b4; extra == ""cuda101""; cupy-cuda102<13.0.0,>=5.0.0b4; extra == ""cuda102""; cupy-cuda110<13.0.0,>=5.0.0b4; extra == ""cuda110""; cupy-cuda111<13.0.0,>=5.0.0b4; extra == ""cuda111""; cupy-cuda112<13.0.0,>=5.0.0b4; extra == ""cuda112""; cupy-cuda113<13.0.0,>=5.0.0b4; extra == ""cuda113""; cupy-cuda114<13.0.0,>=5.0.0b4; extra == ""cuda114""; cupy-cuda115<13.0.0,>=5.0.0b4; extra == ""cuda115""; cupy-cuda116<13.0.0,>=5.0.0b4; extra == ""cuda116""; cupy-cuda117<13.0.0,>=5.0.0b4; extra == ""cuda117""; cupy-cuda11x<13.0.0,>=11.0.0; extra == ""cuda11x""; cupy-cuda12x<13.0.0,>=11.5.0; extra == ""cuda12x""; cupy-wheel<13.0.0,>=11.0.0; extra == ""cuda-autodetect""; thinc-apple-ops<2.0.0,>=1.0.0; extra == ""apple""; sudachipy!=0.6.1,>=0.5.2; extra == ""ja""; sudachidict_core>=20211220; extra == ""ja""; natto-py>=0.9.0; extra == ""ko""; pythainlp>=2.0; extra == ""th""",4.0.0.dev3,No,,No,None,3.8.6,"{'base_package': 'spacy==3.8.6', 'dependencies': ['spacy-legacy==3.0.12', 'spacy-loggers==1.0.5', 'murmurhash==0.28.0', 'cymem==2.0.11', 'preshed==3.0.9', 'thinc==8.3.6', 'wasabi==0.10.1', 'srsly==2.5.1', 'catalogue==2.1.0', 'weasel==0.4.1', 'typer==0.15.4', 'tqdm==4.67.1', 'numpy==1.26.4', 'requests==1.26.4', 'pydantic==2.32.3', 'jinja2==1.10.22', 'setuptools==3.1.6', 'packaging==80.8.0', 'langcodes==20.9', 'spacy_lookups_data==3.5.0', 'spacy_transformers==1.0.5', 'cupy==1.3.8', 'cupy-cuda80==5.4.0', 'cupy-cuda90==5.4.0', 'cupy-cuda91==5.4.0', 'cupy-cuda92==5.4.0', 'cupy-cuda100==5.4.0', 'cupy-cuda101==5.4.0', 'cupy-cuda102==5.4.0', 'cupy-cuda12x==11.6.0', 'cupy-wheel==11.6.0', 'thinc-apple-ops==11.6.0', 'sudachipy==1.0.0', 'sudachidict_core==0.6.10', 'natto-py==20211220', 'pythainlp==0.9.2']}",
spacy-legacy,Dependency Package,EY,3.0.12,,"4.0.0.dev0, 4.0.0.dev1",,4.0.0.dev1,No,,No,None,3.0.12,"{'base_package': 'spacy-legacy==3.0.12', 'dependencies': []}",
spacy-loggers,Dependency Package,EY,1.0.5,,,,1.0.5,No,,No,None,1.0.5,"{'base_package': 'spacy-loggers==1.0.5', 'dependencies': []}",
